name,price,picture-src,brand
RICK OWENS MEN TECUATL PANTS,$504.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/84c1eb738a7d9bd5de7efb097fc58e4e_2400x.jpg?v=1576961564,RICK OWENS
THE NORTH FACE BLACK SERIES UNISEX SPACER KNIT HOODIE,$400.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/7b4c658843ee4446f8e469a210597ee3_2400x.jpg?v=1585411018,THE NORTH FACE
STONE ISLAND MEN TIGHTLY WOVEN NYLON TWILL-TC ZIP UP JACKET,$855.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/f6637aedf45212282dfaea09b11dda9b_2400x.jpg?v=1580842222,STONE ISLAND
VETEMENTS UNISEX MONSTERS STICKERS IPHONE XS CASE,$240.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/5df6b6beb53d981490c7b3277ec8e8ba_2400x.jpg?v=1577221973,VETEMENTS
THOM BROWNE MEN CLASSIC BACKSTRAP TROUSER IN ENGINEERED 4 BAR PLAIN WEAVE SUITING,$950.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/b10165f0266968d0240bbd4c58c4871f_2400x.jpg?v=1582329562,THOM BROWNE
YOHJI YAMAMOTO POUR HOMME HANDS PRINT STAFF SHIRT,$840.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/c1f125dbd439874bfa8cf22f7708e4f6_2400x.jpg?v=1581635814,YOHJI YAMAMOTO POUR HOMME
WERKSTATT MUNCHEN HOOP EARRINGS TWISTED M4515,$280.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/a621e9868f10fd0a4e38d157b1e3caef_2400x.jpg?v=1569186994,WERKSTATT MUNCHEN
MA+ MINIATURE ENVELOPE POUCH,$205.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/3fc75b8ce8060f4c845c3dde2f896b86_2400x.jpg?v=1569880786,MA+
THOM BROWNE MEN UNCONSTRUCTED PATCH POCKET SACK SB S/C IN ENGIGEERED RWB WOOL SEERSUCKER,"$1,790.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/052a84b6d038ea6a74e6dbe5225ef4b7_2400x.jpg?v=1577833678,THOM BROWNE
OFF-WHITE RIPSTOP MEN CROSSBODY FLAP,$740.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/72d179ef4f9ebbdb3a064f7c9819b558_2400x.jpg?v=1582914355,OFF-WHITE
WERKSTATT MUNCHEN BRACELET CURL M2525,$380.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/41b80fa398e23877be15678906ef58ac_2400x.jpg?v=1576958609,WERKSTATT MUNCHEN
GUIDI MEN PL2 HORSE LEATHER CLASSIC FRONT ZIP BOOTS,"$1,530.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/fc443571af48dc74f129fa1e7385e55f_2400x.jpg?v=1571156957,GUIDI
ADIDAS TENNIS HU HUMAN MADE SNEAKERS,$65.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/939490e2b9ca99558e37412bb71cc5e3_2400x.jpg?v=1570212036,ADIDAS
YOHJI YAMAMOTO POUR HOMME HAKAMA PANTS,"$1,060.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/97b3754421476535748928acd5941f48_2400x.jpg?v=1582575830,YOHJI YAMAMOTO POUR HOMME
OFF-WHITE MEN LOW VULCANIZED,$385.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/822dec0af6fe9dd9d97e619181a6fed3_2400x.jpg?v=1582913175,OFF-WHITE
GUIDI MEN PLS HORSE LEATHER SNEAKERS,"$1,530.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/a5cd7b24d0a16e3abfdff6484de83412_2400x.jpg?v=1576431752,GUIDI
GUIDI X LAYER-0 MEN BIKER JACKET,"$3,400.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/14119069_18795444_1000_2400x.jpg?v=1560084413,GUIDI
THE NORTH FACE BLACK SERIES UNISEX SPECTRA MOUNTAIN LIGHT SUIT,"$1,500.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/download_39_2400x.png?v=1584816809,THE NORTH FACE
VETEMENTS UNISEX ARTISANAL JEANS JACKET,"$1,655.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/cdf2e76553a685e86b26f8aa4d44e6d5_2400x.jpg?v=1584137444,VETEMENTS
